NOMBRES,APELLIDOS,DOCUMENTO,TELEFONO,TERMINO_CURSO,NOTA1,NOTA2,NOTA3
pepe,perez,123698,3002365565,0,2.5,3.6,1.2
shakira,lozano,563254,3002555863,1,4.4,4.6,5
nelson,ramirez,1002810,3002746161,1,5,5,5
fabio,arcila,1442366,3002936459,0,1,2,3.5
carla,arevalo,1881922,3003126757,1,4.6,5,4.2
karol,jimenez,2321478,3003317055,0,2,3.5,1.1
fito,lopez,2761034,3003507353,1,4,5,4.6
laura,sanchez,3200590,3003697651,0,2.2,1.3,1.2
jimena,corzo,3640146,3003887949,0,2.1,1.6,2.2
valeria,zuares,4079702,3004078247,1,4.1,5,4.2
luisa,suaza,4519258,3004268545,1,3.5,4.2,5
claudia,parlo,4958814,3004458843,0,2.2,1,2.3
cat,belle,5398370,3004649141,1,3.9,4.3,4.9
